State,Abbreviation,Region
alabama,AL,4
alaska,AK,10
arizona,AZ,9
arkansas,AR,6
california,CA,9
colorado,CO,8
connecticut,CT,1
delaware,DE,3
district_of_columbia,DC,3
florida,FL,4
georgia,GA,4
hawaii,HI,9
idaho,ID,10
illinois,IL,5
indiana,IN,5
iowa,IA,7
kansas,KS,7
kentucky,KY,4
louisiana,LA,6
maine,ME,1
montana,MT,8
nebraska,NE,7
nevada,NV,9
new_hampshire,NH,1
new_jersey,NJ,2
new_mexico,NM,6
new_york,NY,2
north_carolina,NC,4
north_dakota,ND,8
ohio,OH,5
oklahoma,OK,6
oregon,OR,10
maryland,MD,3
massachusetts,MA,1
michigan,MI,5
minnesota,MN,5
mississippi,MS,4
missouri,MO,7
pennsylvania,PA,3
rhode_island,RI,1
south_carolina,SC,4
south_dakota,SD,8
tennessee,TN,4
texas,TX,6
utah,UT,8
vermont,VT,1
virginia,VA,3
washington,WA,10
west_virginia,WV,3
wisconsin,WI,5
wyoming,WY,8
