index,state-county,state
0,california-alameda,california
1,california-alpine,california
2,california-amador,california
3,california-butte,california
4,california-calaveras,california
5,california-colusa,california
6,california-contra costa,california
7,california-del norte,california
8,california-el dorado,california
9,california-fresno,california
10,california-glenn,california
11,california-humboldt,california
12,california-imperial,california
13,california-inyo,california
14,california-kern,california
15,california-kings,california
16,california-lake,california
17,california-lassen,california
18,california-los angeles,california
19,california-madera,california
20,california-marin,california
21,california-mariposa,california
22,california-mendocino,california
23,california-merced,california
24,california-modoc,california
25,california-mono,california
26,california-monterey,california
27,california-napa,california
28,california-nevada,california
29,california-orange,california
31,california-placer,california
32,california-plumas,california
33,california-riverside,california
34,california-sacramento,california
35,california-san benito,california
36,california-san bernardino,california
37,california-san diego,california
38,california-san francisco,california
39,california-san joaquin,california
40,california-san luis obispo,california
41,california-san mateo,california
42,california-santa barbara,california
43,california-santa clara,california
44,california-santa cruz,california
45,california-shasta,california
46,california-sierra,california
47,california-siskiyou,california
48,california-solano,california
49,california-sonoma,california
50,california-stanislaus,california
51,california-sutter,california
52,california-tehama,california
53,california-trinity,california
54,california-tulare,california
55,california-tuolumne,california
56,california-unassigned,california
57,california-ventura,california
58,california-yolo,california
59,california-yuba,california
